,m,n,p,snr,nsspecfit_slope,nsspecfit_intercept,nsspecfit_r2
0,10,50,0.1,1.0,4.635821065907692,-4.773339968093557,0.9364659198433205
1,10,50,0.1,2.0,4.058125562478997,-4.165048769254477,0.9260650012513375
2,10,50,0.1,3.0,4.422535208912485,-4.535426719275228,0.8776791653004494
3,10,50,0.1,4.0,5.730299715959807,-5.944445870509883,0.8765007006811242
4,10,50,0.1,5.0,5.986260978105784,-6.23928591412156,0.9456592469074355
5,10,50,0.1,6.0,7.213615759312022,-7.469434956660303,0.8406607272193739
6,10,50,0.1,7.0,8.494491035193098,-8.928163076693505,0.9266048778781402
7,10,50,0.1,8.0,14.74978753455984,-15.528448523606153,0.9155700795421928
8,10,50,0.1,9.0,7.964495799720803,-8.084813979310294,0.9287892715265235
9,10,50,0.1,10.0,7.977364777352912,-8.105062263767312,0.9532632647195582
10,10,50,0.15,1.0,3.464773748356881,-3.3306110107635964,0.9578400997106122
11,10,50,0.15,2.0,2.9254733891505884,-2.701478354249349,0.9216710244451797
12,10,50,0.15,3.0,4.206736121536434,-4.063348360319798,0.9094287406569252
13,10,50,0.15,4.0,4.925500501231169,-4.797070503165951,0.9138957038625989
14,10,50,0.15,5.0,4.541518497822104,-4.413850301319051,0.8839758895825991
15,10,50,0.15,6.0,5.052598273783947,-4.775958341237937,0.9090926592524788
16,10,50,0.15,7.0,5.008310446881978,-4.647064253654382,0.8940161124969277
17,10,50,0.15,8.0,5.809886109523044,-5.649012386641376,0.8855984957408836
18,10,50,0.15,9.0,7.8568015992898,-7.710765852142268,0.8757345368969975
19,10,50,0.15,10.0,6.581344671750654,-6.166516580511788,0.882747000791548
20,10,50,0.2,1.0,2.6902803081059274,-2.339144215447009,0.9381366428912472
21,10,50,0.2,2.0,2.6966802765649955,-2.3317356508853275,0.9218880149802354
22,10,50,0.2,3.0,2.7503467132671866,-2.326769572464598,0.937443820785616
23,10,50,0.2,4.0,3.2426072216154567,-2.7532354568261628,0.9238501882435652
24,10,50,0.2,5.0,4.134747629556915,-3.6635536887054676,0.9036057010295184
25,10,50,0.2,6.0,3.4853984841758794,-3.0010684533743635,0.9072099468411862
26,10,50,0.2,7.0,4.03272147934,-3.5775506276146585,0.9375759323064804
27,10,50,0.2,8.0,4.600298796809904,-4.165105837230437,0.9302214477725365
28,10,50,0.2,9.0,4.497034493200773,-3.9180223303150505,0.9103547553443162
29,10,50,0.2,10.0,4.5407428580595965,-4.061590804760046,0.9185105913990645
30,10,50,0.25,1.0,2.2440704292591063,-1.7397252155953322,0.9390865228220701
31,10,50,0.25,2.0,2.4151463604382606,-1.9067350714699018,0.9287292575950623
32,10,50,0.25,3.0,3.088189333379429,-2.6451056126690236,0.9300721232260235
33,10,50,0.25,4.0,2.9913291712812975,-2.4212565235905807,0.9384901626942129
34,10,50,0.25,5.0,2.9988043466924075,-2.4624474980206656,0.9300144225484797
35,10,50,0.25,6.0,2.428278432435223,-1.9183574784076938,0.9181578318186927
36,10,50,0.25,7.0,3.4682095819419025,-2.9023030646614485,0.9008514600943034
37,10,50,0.25,8.0,3.1561488174066517,-2.612008965821376,0.9292239087597146
38,10,50,0.25,9.0,3.309676976244942,-2.710825211761357,0.9397055094008044
39,10,50,0.25,10.0,3.554170685597761,-2.9800052003123687,0.9133151742847497
40,10,50,0.3,1.0,2.106670194920797,-1.5243313309706825,0.9499717275004365
41,10,50,0.3,2.0,2.046982189542198,-1.442433035319775,0.9533290991563581
