,m,n,snr,p,nsspecfit_slope,nsspecfit_intercept,nsspecfit_r2
0,100,500,1.000000,0.100000,3.401284,-3.442458,0.995520
1,100,500,1.000000,0.150000,2.755989,-2.550048,0.997047
2,100,500,1.000000,0.200000,2.383509,-2.027510,0.998030
3,100,500,1.000000,0.250000,2.092736,-1.634185,0.998349
4,100,500,1.000000,0.300000,1.932458,-1.404520,0.998525
5,100,500,1.000000,0.350000,1.778970,-1.190304,0.998876
6,100,500,1.000000,0.400000,1.666562,-1.031519,0.998720
7,100,500,1.000000,0.450000,1.539473,-0.865830,0.998577
8,100,500,1.000000,0.500000,1.453733,-0.743141,0.998837
9,100,500,1.000000,0.550000,1.384887,-0.641073,0.998880
10,100,500,1.000000,0.600000,1.316019,-0.537686,0.998859
11,100,500,1.000000,0.650000,1.269928,-0.459367,0.998847
12,100,500,1.000000,0.700000,1.218560,-0.380043,0.998526
13,100,500,1.000000,0.750000,1.170113,-0.300772,0.998881
14,100,500,1.000000,0.800000,1.132152,-0.233466,0.998906
15,100,500,1.000000,0.850000,1.096914,-0.171842,0.999092
16,100,500,1.000000,0.900000,1.068319,-0.115975,0.999110
17,100,500,1.000000,0.950000,1.036402,-0.057739,0.999233
18,100,500,1.000000,1.000000,1.010724,-0.007353,0.999590
19,100,500,2.000000,0.100000,3.495593,-3.548530,0.994807
20,100,500,2.000000,0.150000,2.800487,-2.592873,0.997013
21,100,500,2.000000,0.200000,2.413697,-2.056380,0.997636
22,100,500,2.000000,0.250000,2.165132,-1.704193,0.998128
23,100,500,2.000000,0.300000,1.961008,-1.427898,0.998390
24,100,500,2.000000,0.350000,1.802021,-1.212623,0.998595
25,100,500,2.000000,0.400000,1.670869,-1.032949,0.998766
26,100,500,2.000000,0.450000,1.560838,-0.883818,0.998708
27,100,500,2.000000,0.500000,1.472068,-0.759375,0.998860
28,100,500,2.000000,0.550000,1.394634,-0.649823,0.998691
29,100,500,2.000000,0.600000,1.333984,-0.552697,0.998826
30,100,500,2.000000,0.650000,1.274704,-0.464388,0.998898
31,100,500,2.000000,0.700000,1.225056,-0.382581,0.998731
32,100,500,2.000000,0.750000,1.173231,-0.303288,0.998872
33,100,500,2.000000,0.800000,1.135458,-0.236463,0.998944
34,100,500,2.000000,0.850000,1.096386,-0.169536,0.999017
35,100,500,2.000000,0.900000,1.071781,-0.119463,0.999099
36,100,500,2.000000,0.950000,1.039689,-0.061167,0.999172
37,100,500,2.000000,1.000000,1.011797,-0.007789,0.999565
38,100,500,3.000000,0.100000,3.489674,-3.543297,0.996100
39,100,500,3.000000,0.150000,2.884730,-2.683114,0.996316
40,100,500,3.000000,0.200000,2.476766,-2.116665,0.997374
41,100,500,3.000000,0.250000,2.174478,-1.715646,0.997610
42,100,500,3.000000,0.300000,1.952701,-1.415419,0.998495
43,100,500,3.000000,0.350000,1.814171,-1.225926,0.998301
