,m,n,snr,snr2,p,nsspecfit_slope,nsspecfit_intercept,nsspecfit_r2
0,100,100,1.000000,1.000000,0.100000,3.533617,-4.750085,0.985612
1,100,100,1.000000,1.000000,0.150000,2.750575,-3.300492,0.989321
2,100,100,1.000000,1.000000,0.200000,2.443169,-2.685671,0.993522
3,100,100,1.000000,1.000000,0.250000,2.178424,-2.189050,0.994909
4,100,100,1.000000,1.000000,0.300000,1.976697,-1.799599,0.995717
5,100,100,1.000000,1.000000,0.350000,1.834659,-1.523333,0.996367
6,100,100,1.000000,1.000000,0.400000,1.708163,-1.290904,0.997122
7,100,100,1.000000,1.000000,0.450000,1.616340,-1.103957,0.996842
8,100,100,1.000000,1.000000,0.500000,1.509785,-0.923395,0.997997
9,100,100,1.000000,1.000000,0.550000,1.456122,-0.809801,0.997797
10,100,100,1.000000,1.000000,0.600000,1.376540,-0.662674,0.998215
11,100,100,1.000000,1.000000,0.650000,1.324585,-0.557860,0.998394
12,100,100,1.000000,1.000000,0.700000,1.260272,-0.447861,0.998582
13,100,100,1.000000,1.000000,0.750000,1.209267,-0.354982,0.998489
14,100,100,1.000000,1.000000,0.800000,1.168677,-0.279317,0.998527
15,100,100,1.000000,1.000000,0.850000,1.125445,-0.201331,0.998756
16,100,100,1.000000,1.000000,0.900000,1.082050,-0.127545,0.998968
17,100,100,1.000000,1.000000,0.950000,1.050053,-0.067303,0.999128
18,100,100,1.000000,1.000000,1.000000,1.011741,-0.003409,0.999536
19,100,100,2.000000,1.000000,0.100000,3.515813,-4.702446,0.988508
20,100,100,2.000000,1.000000,0.150000,2.906494,-3.528779,0.989946
21,100,100,2.000000,1.000000,0.200000,2.444979,-2.685369,0.992408
22,100,100,2.000000,1.000000,0.250000,2.222223,-2.230929,0.995277
23,100,100,2.000000,1.000000,0.300000,2.021200,-1.842043,0.995487
24,100,100,2.000000,1.000000,0.350000,1.846427,-1.542405,0.995479
25,100,100,2.000000,1.000000,0.400000,1.753014,-1.338876,0.996241
26,100,100,2.000000,1.000000,0.450000,1.629848,-1.125124,0.997231
27,100,100,2.000000,1.000000,0.500000,1.557509,-0.976954,0.997369
28,100,100,2.000000,1.000000,0.550000,1.481417,-0.828607,0.997665
29,100,100,2.000000,1.000000,0.600000,1.402529,-0.690642,0.997947
30,100,100,2.000000,1.000000,0.650000,1.348230,-0.579841,0.997914
31,100,100,2.000000,1.000000,0.700000,1.283868,-0.470380,0.998335
32,100,100,2.000000,1.000000,0.750000,1.229757,-0.373676,0.998198
33,100,100,2.000000,1.000000,0.800000,1.176477,-0.282765,0.998366
34,100,100,2.000000,1.000000,0.850000,1.130730,-0.202173,0.998645
35,100,100,2.000000,1.000000,0.900000,1.089824,-0.131255,0.998799
36,100,100,2.000000,1.000000,0.950000,1.055254,-0.068075,0.998970
37,100,100,2.000000,1.000000,1.000000,1.017477,-0.004914,0.999333
38,100,100,2.000000,2.000000,0.100000,3.546700,-4.738062,0.989359
39,100,100,2.000000,2.000000,0.150000,2.948302,-3.580371,0.990500
40,100,100,2.000000,2.000000,0.200000,2.483719,-2.730624,0.993270
41,100,100,2.000000,2.000000,0.250000,2.265630,-2.280898,0.994762
42,100,100,2.000000,2.000000,0.300000,2.056124,-1.879682,0.995180
43,100,100,2.000000,2.000000,0.350000,1.880751,-1.577791,0.995514
44,100,100,2.000000,2.000000,0.400000,1.785219,-1.370064,0.996093
45,100,100,2.000000,2.000000,0.450000,1.651257,-1.143057,0.997050
46,100,100,2.000000,2.000000,0.500000,1.581601,-0.997769,0.996919
47,100,100,2.000000,2.000000,0.550000,1.509076,-0.851912,0.996501
